Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xa021038866783ab685590fbf2358384f219f709be072face5f568f8c4a55b8f1","Success","0xe19c2253","311458230","2025-03-02 11:52:36","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0xb7e25d7dab2829d80fdd7cc9c70557e33de364c3239f92436d1e228a467a25ed","Success","0x0cf79e0a","311451187","2025-03-02 11:22:55","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0x603c1769e26f535087047d4b43d21a48f634521a33ffee450264a9aba593bb68","Success","0xe19c2253","311450669","2025-03-02 11:20:43","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0x0f4242dca46caa4e38df07d2a32d89b377331b8db728ca0da4092e51d43dd767","Success","0x0cf79e0a","311445080","2025-03-02 10:57:14","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0xf643dccafaecc506157f84f1691d3b9d88f150e4944cf2164daac989d9743b00","Success","0xe19c2253","311444514","2025-03-02 10:54:51","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0x44f3ca515c2a9d89fd305d69ada5254db21f33d1cc22fceb2c57e8567fe5de78","Success","0x0cf79e0a","311440385","2025-03-02 10:37:28","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0xa92d37d5e7caf4afbf3000d1f859105a4e609be331eca2b4f13060d4731d6aa7","Success","0xe19c2253","311440011","2025-03-02 10:35:53","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0xf23ba04244b5f54803324bcbad59c8150823e85d2c2005f6f5dd43a33f4f2fc5","Success","0x0cf79e0a","311437125","2025-03-02 10:23:47","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0xd80d0128d952171d9a2e2a0debb3b0f1a60e98a7eb0e88b36fe51447ed52e164","Success","0xe19c2253","311436691","2025-03-02 10:21:58","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0xbcf447247f286ea1bc7043ebcd33e7b53e4a7b88ae0c91d3496ab635586ae54f","Success","0x0cf79e0a","311434894","2025-03-02 10:14:27","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0xd692b308f29e94ca23d8debe5b8cfb33e98fb9ab62898f42fcadbf7c035c88ae","Success","0xe19c2253","311434490","2025-03-02 10:12:45","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
