Maintainer username,Maintainer name,Total dependencies maintained,Goal progress,Goal description,Total sponsors,Total organization sponsors,Sponsorship amount in USD
piotrmurach,Piotr Murach,3,15,20 monthly sponsors,3,2,
timdorr,Tim Dorr,2,,,8,5,
EskiMojo14,Ben Durrant,2,,,4,2,
shadowspawn,John Gee,2,,,6,5,
node-fetch,Node Fetch,2,,,8,5,
prettier-eslint,Prettier ESLint,2,1,5000 monthly sponsors,3,3,
quantizor,Evan Jacobs,2,,,4,2,
JoshuaKGoldberg,Josh Goldberg ✨,2,58,50 monthly sponsors,29,6,
typicode,,2,28,100 monthly sponsors,29,14,
floating-ui,Floating UI,2,5,$400 per month,3,3,
gregberge,Greg Bergé,2,18,50 monthly sponsors,10,4,
sheremet-va,Vladimir,2,,,13,6,
yarnpkg,Yarn,2,,,16,5,
sinonjs,Sinon.JS,2,50,10 monthly sponsors,5,4,
remarkablemark,Mark,2,50,10 monthly sponsors,5,4,
mdevils,Marat Dulin,2,60,5 monthly sponsors,3,3,
nebrelbug,Ben Gubler,2,0,$40 per month,0,0,
motdotla,mot,2,,,12,8,
yaacovCR,Yaacov Rydzinski ,2,,,2,2,
bcoe,Benjamin E. Coe,2,,,0,0,
swc-project,swc,2,,,13,6,
dubzzz,Nicolas DUBIEN,2,,,6,3,
mjackson,Michael Jackson,2,,,11,6,
brettz9,Brett Zamir,2,,,6,3,
NaturalIntelligence,Natural Intelligence,2,0,$100 per month,3,2,
tannerlinsley,Tanner Linsley,2,31,500 monthly sponsors,158,38,
nock,Nock,2,1,$500 per month,2,2,
sibiraj-s,Sibiraj,2,1,"$2,000 per month",6,4,
shellscape,Andrew Powell,2,6,$500 per month,7,5,
MikeRalphson,Mike Ralphson,2,,,1,1,
nexdrew,Andrew Goode,2,,,4,4,
dcodeIO,dcode,2,,,1,1,
jaydenseric,Jayden Seric,2,,,7,4,
rstacruz,Rico Sta. Cruz,2,,,1,1,
DavidAnson,David Anson,2,,,9,4,
gcanti,Giulio Canti,2,6,"$5,000 per month",25,4,
gristlabs,Grist Labs,2,,,13,3,
kamilkisiela,Kamil Kisiela,2,,,7,4,
lavrton,Anton Lavrenov,2,,,10,4,
kigawas,Weiliang Li,2,20,5 monthly sponsors,1,1,
josdejong,Jos de Jong,2,,,17,6,
slorber,Sébastien Lorber,2,1,"$1,000 per month",2,0,
Aslemammad,Mohammad Bagher Abiyat,2,86,$750 per month,17,5,
pypa,Python Packaging Authority,2,9,"$2,000 per month",28,7,
davidhalter,Dave Halter,2,16,42 monthly sponsors,7,3,
hynek,Hynek Schlawack,2,30,"$2,000 per month",43,10,
napi-rs,NodeAPI (NAPI) for Rust,2,5,300 monthly sponsors,15,8,
andrewrk,Andrew Kelley,2,,,70,7,
matplotlib,Matplotlib Developers,2,7,180 monthly sponsors,14,3,
jhurliman,John Hurliman,2,20,10 monthly sponsors,2,2,
pydantic,Pydantic,2,,,11,3,
samuelcolvin,Samuel Colvin,2,,,34,11,
jet2jet,jet,2,,,0,0,
NMFR,Nuno Rodrigues,2,1,"$1,000 per month",3,3,
toyobayashi,Toyo Li,2,,,3,2,
rwjblue,Robert Jackson,2,,,4,3,
geemus,Wesley Beary,2,20,10 monthly sponsors,2,1,
shuding,Shu Ding,2,40,15 monthly sponsors,6,1,
aptabase,Aptabase,2,,,0,0,
